id,Brand Name,price,Discription,Warranty,instalment,Discount,Seller Name
2.02E+20,Local Brand ,Rs. 161,Italiano Glaced Cherries 80gm,7 Days ReturnsChange of mind is not applicable,not availble ,-21%,ItalianO 1650435800
2.02E+20,Local Brand ,Rs. 350,Fig jam Organic (Anjeer jam) 440 gram,7 Days ReturnsChange of mind is not applicable,not availble ,0,3K Products
2.02E+20,Local Brand ,Rs. 699,Fresh And Green Harar murabba 1 kg plastic jar packing.,7 Days ReturnsChange of mind is not applicable,not availble ,0,Hunain Mart (Hafizabad)
2.02E+20,Ahmed Foods,Rs. 330,Amla Preserve Murabba 450 gm, not avalible ,not availble ,-6%,Ahmed Foods
2.02E+20,Local Brand ,"Rs. 2,180",Food Vacuum Sealer Kitchen Food Fruit Vacuum Sealer Machine/ Food Packaging Machine Long Storage,7 Days ReturnsChange of mind is not applicable,not availble ,-27%,The Bhasra's Trader
2.02E+20,Local Brand ,Rs. 899,Bamboo Preserve  Bans Ka Murabba / Muraba / Maraba ( Baans Ka Murabba ) - 1 KG,7 Days ReturnsChange of mind is not applicable,not availble ,0,M&S Traders
2.02E+20,Local Brand ,Rs. 120,Pure Honey 80GM - AL ADAN Challenging Quality Export Quality, not avalible ,not availble ,-8%,Al-Adan
2.02E+20,Young's Food,Rs. 380,Young's Natural  Honey - 250 gms Glass Jar, not avalible ,not availble ,-3%,Young's Foods
2.02E+20,Local Brand ,Rs. 549,"The Magic of Nature Japanese Sushi Rice, 800gm",7 Days ReturnsChange of mind is not applicable,not availble ,0,M.F Shop
2.02E+20,Family Foods,Rs. 499,Saib Murabba - Apple Preserve - 1 KG, not avalible ,not availble ,-23%,Family Store
2.02E+20,Simply the great food,Rs. 550,Orange Blossom Honey 250 gm (Simply The Great Food) Raw & Cold-Extracted, not avalible ,not availble ,-15%,Simply The Great Food
2.02E+20,Family Foods,Rs. 999,Adrak Murabba ( Ginger Preserve ) - 1 KG, not avalible ,not availble ,-17%,Family Store
2.02E+20,SHEIKHU,Rs. 124,Sheikhu - Dal Mong Washed 500 grams, not avalible ,not availble ,0,Sheikhu
2.02E+20,Hamdard,Rs. 650,HAMDARD Honey - 480 gm (Bottle) Pure bees honey,7 Days ReturnsChange of mind is not applicable,not availble ,-13%,Seen Store Live
2.02E+20,Simply the great food,Rs. 320,Orange Blossom Honey 125 gm (Simply The Great Food) Raw & Cold-Extracted, not avalible ,not availble ,-20%,Simply The Great Food
2.02E+20,SO GOOD,Rs. 275,So Good! LIGHT MAYONNAISE 240gm, not avalible ,not availble ,-4%,So Good
2.02E+20,Local Brand ,Rs. 519,Murabba Harar 900.Gms,7 Days ReturnsChange of mind is not applicable,not availble ,0,Shamsi Traders (Karachi)
2.02E+20,Local Brand ,Rs. 175,Murabba Saib (Apple Preserve) 225.Gms,7 Days ReturnsChange of mind is not applicable,not availble ,0,Saeedi Enterprises (Karachi)
2.02E+20,Local Brand ,Rs. 165,"Murabba Tuma, Tumba, korh, 250g , Jar Packing",7 Days ReturnsChange of mind is not applicable,not availble ,0,Al-Hussain-Traders
2.02E+20,Local Brand ,Rs. 299,Mango Preserve (Aam Ka Murabba) jam 400 Gms,7 Days ReturnsChange of mind is not applicable,not availble ,0,Prime MarkDown
2.02E+20,Local Brand ,"Rs. 1,199",Balochi Tikka - Chicken Balochi Tikka - Balochi Tikka Can - Chicken Balochi Tikka Can - Can Food - Canned Food - Tin Packed - Tin Pack - Net Weight 600 Grams - Canned - Ready To Eat - Ready To Eat Food - Tasty Food,7 Days ReturnsChange of mind is not applicable,not availble ,-25%,JB Foods Pakistan
2.02E+20,Local Brand ,Rs. 579,Murabba Adrak ( Ginger Preserve ) Adrak Ka Murrabba / Maraba / Muraba - 500 Grams,7 Days ReturnsChange of mind is not applicable,not availble ,0,M&S Traders
2.02E+20,Local Brand ,Rs. 220,Gajar Achar 100%PURE,7 Days ReturnsChange of mind is not applicable,not availble ,0,Jadu.pk
2.02E+20,Family Foods,Rs. 540,"Pack of 4 | Apple + Gajer + Amla + Harar Murabba | Murrabba Gajar, Saib, Harar & Amla  | Preserve (Carrot | Gooseberry | Harar | Apple)", not avalible ,not availble ,-32%,Family Store
2.02E+20,Local Brand ,Rs. 380,Clean & Pure Black Chana - 1000gm,7 Days ReturnsChange of mind is not applicable,not availble ,0,2A
2.02E+20,Local Brand ,"Rs. 1,099",Pack Of 3 Bahi Murabba ( Qunce / Queen Apple Preserve ) Behi / Bahi Ka Murabba / Maraba / Muraba - 1 KG,7 Days ReturnsChange of mind is not applicable,not availble ,0,M&S Traders
2.02E+20,Young's Food,Rs. 690,Young's Natural Honey 500g, not avalible ,not availble ,-1%,Young's Foods
2.02E+20,Local Brand ,Rs. 169,Pure Al Adan Honey Bee 150 gm Challenging Quality, not avalible ,not availble ,-6%,Al-Adan
2.02E+20,Simply the great food,"Rs. 2,100",Royal Sidr Honey with Saffron (Zafran) (Simply The Great Food) 500 gm Raw & Cold-Extracted, not avalible ,not availble ,-25%,Simply The Great Food
2.02E+20,Local Brand ,Rs. 220,Pistachios Talbeena Haramain Food 200gm,7 Days ReturnsChange of mind is not applicable,not availble ,-27%,SFS SHOP
2.02E+20,Local Brand ,Rs. 710,Pure and Natural Honey with money back gurrantee,7 Days ReturnsChange of mind is not applicable,not availble ,-29%,Pure And Natural Honey
2.02E+20,Local Brand ,Rs. 845,SIBLINGS Sweet Sugar Palmfruit Filipino KAONG Red 340g,7 Days ReturnsChange of mind is not applicable,not availble ,0,Pak-Pinoy Junction
2.02E+20,Local Brand ,Rs. 445,Husnain Organic Store-Murabba Hareer 500g \Best for brain\Natural Sweetness,7 Days ReturnsChange of mind is not applicable,not availble ,-19%,Hussnain Organic Store
2.02E+20,Local Brand ,Rs. 400,Plum Food Aalu Bukhara Frome irani 500grams,7 Days ReturnsChange of mind is not applicable,not availble ,-60%,QADIR KHAN DRY FRUITS SHOP
2.02E+20,Local Brand ,Rs. 220,Vanilla Talbeena Haramain Food 200gm,7 Days ReturnsChange of mind is not applicable,not availble ,-27%,SFS SHOP
2.02E+20,Young's Food,Rs. 950,Chocobliss Hazelnut Chocolate Spread 675gm Glass Jar 12Pcs, not avalible ,not availble ,0,Young's Foods
2.02E+20,Simply the great food,"Rs. 1,550",Special Offer Orange Blossom Honey & Acacia Honey 400gm each (Simply The Great Food) Raw & Cold-Extracted, not avalible ,not availble ,-18%,Simply The Great Food
2.02E+20,Young's Food,Rs. 800,Chocobliss Milk Chocolate Spread 675gm Glass Jar 12Pcs, not avalible ,not availble ,0,Young's Foods
2.02E+20,Simply the great food,"Rs. 1,999","Gift Set: 5 Jars (Acacia, Orange Blossom, Sidr Beri, Wild Flower and Eucalyptus Honey)of Honey 125g each (Simply The Great Food)", not avalible ,not availble ,-17%,Simply The Great Food
2.02E+20,Local Brand ,Rs. 499,Korean Noodles 2X Spicy Ramen (RED) Korean Imported Instant Noodles,7 Days ReturnsChange of mind is not applicable,not availble ,-38%,"{Mr, shopper}"
2.02E+20,Local Brand ,Rs. 175,Murabba Saib 225.Gms,7 Days ReturnsChange of mind is not applicable,not availble ,0,Shamsi Traders (Karachi)
2.02E+20,Ahmed Foods,Rs. 330,Carrot Preserve Murabba 450 gm, not avalible ,not availble ,-6%,Ahmed Foods
